Ambient Temperature (°C),Sensor Temperature (°C),Error,Controller Output (V(t)),TEC State (ON or OFF)
26,20.8,4.8,5, ON
26,20.81,4.81,5, ON
26,20.8,4.8,5, ON
26,20.79,4.79,5, ON
26,20.78,4.78,5, ON
26,20.56,4.56,5, ON
26,20.17,4.17,5, ON
26,19.69,3.69,5, ON
26,19.17,3.17,5, ON
26,18.62,2.62,5, ON
26,18.07,2.07,5, ON
26,17.51,1.51,5, ON
26,16.96,0.96,5, ON
26,16.44,0.44,5, ON
26,15.91,-0.09,0, OFF
26,15.35,-0.65,0, OFF
26,15.13,-0.87,0, OFF
26,15.08,-0.92,0, OFF
26,15.11,-0.89,0, OFF
26,15.19,-0.81,0, OFF
26,15.33,-0.67,0, OFF
26,15.46,-0.54,0, OFF
26,15.63,-0.37,0, OFF
26,15.81,-0.19,0, OFF
26,15.98,-0.02,0, OFF
26,16.15,0.15,5, ON
26,16.46,0.46,5, ON
26,16.48,0.48,5, ON
26,16.37,0.37,5, ON
26,16.16,0.16,5, ON
26,15.9,-0.1,0, OFF
26,15.47,-0.53,0, OFF
26,15.31,-0.69,0, OFF
26,15.28,-0.72,0, OFF
26,15.31,-0.69,0, OFF
26,15.38,-0.62,0, OFF
26,15.48,-0.52,0, OFF
26,15.61,-0.39,0, OFF
26,15.76,-0.24,0, OFF
26,15.91,-0.09,0, OFF
26,16.07,0.07,5, ON
26,16.38,0.38,5, ON
26,16.41,0.41,5, ON
26,16.31,0.31,5, ON
26,16.11,0.11,5, ON
26,15.86,-0.14,0, OFF
26,15.45,-0.55,0, OFF
26,15.3,-0.7,0, OFF
26,15.25,-0.75,0, OFF
26,15.28,-0.72,0, OFF
26,15.35,-0.65,0, OFF
26,15.43,-0.57,0, OFF
26,15.55,-0.45,0, OFF
26,15.7,-0.3,0, OFF
26,15.86,-0.14,0, OFF
26,16.02,0.02,5, ON
26,16.33,0.33,5, ON
26,16.36,0.36,5, ON
26,16.26,0.26,5, ON
26,16.07,0.07,5, ON
26,15.84,-0.16,0, OFF
26,15.44,-0.56,0, OFF
26,15.29,-0.71,0, OFF
26,15.24,-0.76,0, OFF
26,15.26,-0.74,0, OFF
26,15.33,-0.67,0, OFF
26,15.41,-0.59,0, OFF
26,15.54,-0.46,0, OFF
26,15.68,-0.32,0, OFF
26,15.83,-0.17,0, OFF
26,15.98,-0.02,0, OFF
26,16.15,0.15,5, ON
26,16.47,0.47,5, ON
26,16.5,0.5,5, ON
26,16.4,0.4,5, ON
26,16.22,0.22,5, ON
26,15.99,-0.01,0, OFF
26,15.56,-0.44,0, OFF
26,15.42,-0.58,0, OFF
26,15.36,-0.64,0, OFF
26,15.37,-0.63,0, OFF
26,15.43,-0.57,0, OFF
26,15.52,-0.48,0, OFF
26,15.64,-0.36,0, OFF
26,15.78,-0.22,0, OFF
26,15.93,-0.07,0, OFF
26,16.08,0.08,5, ON
26,16.39,0.39,5, ON
26,16.41,0.41,5, ON
26,16.32,0.32,5, ON
26,16.14,0.14,5, ON
26,15.91,-0.09,0, OFF
26,15.49,-0.51,0, OFF
26,15.35,-0.65,0, OFF
26,15.3,-0.7,0, OFF
26,15.32,-0.68,0, OFF
26,15.37,-0.63,0, OFF
26,15.45,-0.55,0, OFF
26,15.56,-0.44,0, OFF
26,15.71,-0.29,0, OFF
26,15.85,-0.15,0, OFF
26,16.01,0.01,5, ON
26,16.33,0.33,5, ON
26,16.36,0.36,5, ON
26,16.26,0.26,5, ON
26,16.07,0.07,5, ON
26,15.85,-0.15,0, OFF
26,15.45,-0.55,0, OFF
26,15.3,-0.7,0, OFF
26,15.26,-0.74,0, OFF
26,15.27,-0.73,0, OFF
26,15.33,-0.67,0, OFF
26,15.43,-0.57,0, OFF
26,15.55,-0.45,0, OFF
26,15.69,-0.31,0, OFF
26,15.84,-0.16,0, OFF
26,16,0,0, OFF
26,16.16,0.16,5, ON
26,16.47,0.47,5, ON
26,16.5,0.5,5, ON
26,16.41,0.41,5, ON
26,16.24,0.24,5, ON
26,16.01,0.01,5, ON
26,15.74,-0.26,0, OFF
26,15.32,-0.68,0, OFF
26,15.14,-0.86,0, OFF
26,15.08,-0.92,0, OFF
26,15.09,-0.91,0, OFF
26,15.15,-0.85,0, OFF
26,15.25,-0.75,0, OFF
26,15.37,-0.63,0, OFF
26,15.5,-0.5,0, OFF
26,15.65,-0.35,0, OFF
26,15.81,-0.19,0, OFF
26,15.98,-0.02,0, OFF
26,16.15,0.15,5, ON
26,16.47,0.47,5, ON
26,16.51,0.51,5, ON
26,16.42,0.42,5, ON
26,16.25,0.25,5, ON
26,16,0,5, ON
26,15.74,-0.26,0, OFF
26,15.31,-0.69,0, OFF
26,15.13,-0.87,0, OFF
26,15.07,-0.93,0, OFF
26,15.08,-0.92,0, OFF
26,15.14,-0.86,0, OFF
26,15.25,-0.75,0, OFF
